,estado,populacao
0,Rondônia,1379787
1,Acre,557526
2,Amazonas,2812557
3,Roraima,324397
4,Pará,6192307
5,Amapá,477032
6,Tocantins,1157098
7,Maranhão,5651475
8,Piauí,2843278
9,Ceará,7430661
10,Rio Grande do Norte,2776782
11,Paraíba,3443825
12,Pernambuco,7918344
13,Alagoas,2822621
14,Sergipe,1784475
15,Bahia,13070250
16,Minas Gerais,17891494
17,Espírito Santo,3097232
18,Rio de Janeiro,14391282
19,São Paulo,37032403
20,Paraná,9563458
21,Santa Catarina,5356360
22,Rio Grande do Sul,10187798
23,Mato Grosso do Sul,2078001
24,Mato Grosso,2504353
25,Goiás,5003228
26,Distrito Federal,2051146
